component,n_rows,FlipRate@16_mean,FlipRate@16_lo,FlipRate@16_hi,FlipRate@32_mean,FlipRate@32_lo,FlipRate@32_hi,BiasMassGain@16_mean,BiasMassGain@16_lo,BiasMassGain@16_hi,BiasMassGain@32_mean,BiasMassGain@32_lo,BiasMassGain@32_hi,dTopKMass@16_mean,dTopKMass@16_lo,dTopKMass@16_hi,dTopKMass@32_mean,dTopKMass@32_lo,dTopKMass@32_hi,dEntropy_mean,dEntropy_lo,dEntropy_hi,dESS_mean,dESS_lo,dESS_hi,dSelfMass_mean,dSelfMass_lo,dSelfMass_hi,dEvidenceMass_mean,dEvidenceMass_lo,dEvidenceMass_hi
0,192916,0.025951574562676678,0.02568042754142233,0.026243586368115034,0.02414041819582962,0.023935847016833982,0.024365665003875093,0.0009713326060241523,0.0008950460449299273,0.0010499897083800262,0.0012494665318982486,0.0011720258769308115,0.0013295041119790203,0.0008337869184346352,0.0007586067422457532,0.0009123814915426783,0.0010974658794051036,0.0010201245661240331,0.0011745987339751645,-0.004665538611477892,-0.005051608706108981,-0.004301520098540804,-2.2807364290025545,-2.3699737958126073,-2.197844127239367,-0.0003980668506576236,-0.000409829463366377,-0.0003870760812506895,-0.0009424014741428356,-0.001084675945433727,-0.0008097899496825416
1,168867,0.01008371849838433,0.009948085534530264,0.010212802480041687,0.010201553466140023,0.01008022943301834,0.010311408424290267,-0.0006373496722951914,-0.0006499552116171519,-0.0006243491286795327,-0.0005805425531609391,-0.0005936739875293473,-0.0005675442904225432,-0.000658192317910371,-0.0006706986714225616,-0.0006451324485495287,-0.000605491753310756,-0.0006185039534334505,-0.0005925435580755751,0.003769483847889483,0.0037101866907580145,0.003825589727449963,0.3988164781830424,0.378828223094757,0.41777273701679646,-0.00024498173076506843,-0.00024995640531123793,-0.0002401405764194293,-0.0004022925399046536,-0.00044054656049892363,-0.00036706407721315846
2,149063,0.024094957613000317,0.023763143116732534,0.02445224797130871,0.022369876047934986,0.02211287473644736,0.022644434620273254,0.0008514783200163914,0.0007529260449431075,0.0009555052717181062,0.0011637666094658783,0.0010667379229948475,0.0012697052066421998,0.0007208864688024729,0.0006258576519118557,0.0008231089617388234,0.0010206025540850723,0.0009257827196553643,0.0011241862230408275,-0.003306063668054165,-0.003750301605988962,-0.0028818755777362706,-2.611854901866345,-2.7443381397731343,-2.489233045509092,-0.000529231336310691,-0.000542719785079225,-0.0005163638638985291,-0.0009742375432142389,-0.0010872726630008656,-0.0008658294497653401
3,105362,0.020166238381326602,0.019903817793506414,0.02042507908849979,0.01970053245002942,0.019501620724825995,0.019907141797910224,6.328087720657949e-05,1.147952731254856e-05,0.00012034930539980666,0.0003413228115466856,0.00028603637159466144,0.0004024168280406824,-2.6208854658166247e-05,-7.822189587855948e-05,3.005779655614232e-05,0.00023894613264286961,0.0001850677631833187,0.0002991224040515691,0.0003756079667057128,0.00014190450585667061,0.0005962115633901594,-1.7232040046357047,-1.815555180814087,-1.636777278343206,-0.0003065598109167753,-0.0003151546001826152,-0.0002980364968308644,-0.0007464556019775321,-0.0008402270120765067,-0.0006601829743854028
4,34781,0.03172724212453159,0.03128883736183083,0.032168885224799104,0.02957433656306604,0.029212945950066526,0.029940565805074124,0.0015495260217652193,0.0014279257924539992,0.0016784990612864065,0.0019931894456454227,0.0018679600697723286,0.002123229727446081,0.0013342109340976113,0.00121651703582603,0.0014589807992704982,0.0017569756105591857,0.0016349368656345502,0.0018840296353871313,-0.006218037972864264,-0.006761318495459358,-0.005697253554054514,-3.9552818303750668,-4.1233648486753,-3.7844822178448214,-0.0006298235747835455,-0.000647325857667415,-0.0006130030621166924,-0.0013318688263762833,-0.0014604133492179604,-0.0012097956321575564
5,40211,0.025107790778642662,0.024812120124720654,0.025409065596040448,0.02364331536561306,0.02339813505599109,0.023903028837436047,0.0006054737567537368,0.0005217974183242183,0.0006914864902228634,0.0009487667266983952,0.0008626684210545302,0.0010404728292651155,0.00047479970621299025,0.0003925953708729833,0.0005582650033804574,0.0008043563237034577,0.0007199092366557846,0.0008925295911701893,-0.0025284896033084805,-0.0029588110728775655,-0.0021124809636757728,-1.6044539947243697,-1.6877629648555816,-1.5261636595523906,-0.0006484490933735848,-0.0006645853422185641,-0.0006339879813439125,-0.0010938541123488902,-0.0012191368376534078,-0.0009688689843988603
