component,dominant_scale,fine_mass,mid_mass,coarse_mass,entropy,v_s1,v_s2,v_s3,v_s4,v_s5,v_s6,v_s7,v_s8
0,5,0.12495937311295557,0.1152415780216957,0.7597990488652925,1.2660587914886767,0.0,2.2185285273094735,1.5133297492184807,0.5326690582674162,10.684363083204497,0.7902150210122026,0.0,2.0148930970075987
1,8,0.02136665022189918,0.0,0.9786333497780065,0.5155558895764545,0.2268452518724693,0.0,0.0,0.0,0.0,0.7850038582926592,0.3783779367181714,9.226563583215043
2,3,0.010442280254772394,0.9312819047130662,0.05827581503208526,0.41044614018153225,0.04127472188767227,0.09571380009918005,11.972948073360364,0.24420455682675532,0.0,0.5681064820137178,0.19639299262699186,0.0
3,2,0.8854739041052168,0.06017370512931181,0.054352390765400424,0.770359377877943,1.3275167043295504,11.15614259135221,0.0,0.8483457614171388,0.0,0.26968263695078004,0.4965926028674602,0.0
4,4,0.0,0.9932396908603098,0.00676030913959048,0.04051655307036185,0.0,0.0,0.0,9.951499009196903,0.0,0.06773310644304596,0.0,0.0
5,6,0.04635686484331961,0.0,0.9536431351565964,0.4121392117554058,0.5523844571725889,0.0,0.0,0.0,0.0,10.646519920566654,0.717010536686757,0.0
6,1,0.872561667288924,0.0,0.12743833271100397,0.4631046823709486,12.12250515646006,0.0,0.0,0.0,1.1701122820250993,0.0,0.6003893379002667,0.0
7,7,0.0,0.0,0.9999999999999407,0.45698849856797114,0.0,0.0,0.0,0.0,2.883682342144509,0.0,14.009965006719082,0.0
