component,attribute,P_attr,P_attr_given_comp,ER
0,layer_low,0.3333333333333333,0.0020616319444444445,0.006184895833333334
0,layer_mid,0.3333333333333333,0.4300130208333333,1.2900390625
0,layer_high,0.3333333333333333,0.5679253472222222,1.7037760416666667
0,pos_0-512,0.13773871527777778,0.14073350694444445,1.0217425555380495
0,pos_512-1024,0.12747395833333333,0.12532552083333334,0.9831460674157304
0,pos_1024-2048,0.23448350694444445,0.2314453125,0.987043035631652
0,pos_2048-4096,0.5003038194444445,0.5024956597222222,1.004381018478355
0,role_question,0.017361111111111112,0.019133391203703703,1.1020833333333333
0,role_evidence,0.19600694444444444,0.18775318287037038,0.9578904635370535
0,role_answer_near,0.014670138888888889,0.015480324074074073,1.0552268244575937
0,role_title_special,0.03567708333333333,0.02806712962962963,0.7866991078669912
0,role_irrelevant,0.7362847222222222,0.7495659722222222,1.0180381985380806
0,selfmass_base_high,0.5,0.5003978587962963,1.0007957175925926
0,entropy_base_high,0.5,0.5544343171296297,1.1088686342592593
0,prefix_mass_base_high,0.5,0.7008101851851852,1.4016203703703705
0,far_mass_base_high,0.5,0.6103153935185185,1.220630787037037
0,topk_mass_base_high,0.49999819155092595,0.4275173611111111,0.8550378148069111
0,base_logit_margin_high,0.5,0.37688078703703703,0.7537615740740741
0,WavMass_high,0.5,0.6745515046296297,1.3491030092592593
0,router_out_entropy_high,0.5,0.6593605324074074,1.3187210648148149
0,top_scale_margin_high,0.5,0.5936414930555556,1.1872829861111112
0,router_in_norm_high,0.5,0.8464626736111112,1.6929253472222223
1,layer_low,0.3333333333333333,0.9895471643518519,2.968641493055556
1,layer_mid,0.3333333333333333,0.006908275462962963,0.02072482638888889
1,layer_high,0.3333333333333333,0.0035445601851851853,0.010633680555555556
1,pos_0-512,0.13773871527777778,0.15324797453703703,1.1125991281970484
1,pos_512-1024,0.12747395833333333,0.12612123842592593,0.9893882646691636
1,pos_1024-2048,0.23448350694444445,0.22348813657407407,0.9531081289526453
1,pos_2048-4096,0.5003038194444445,0.49714265046296297,0.9936815014025042
1,role_question,0.017361111111111112,0.01873553240740741,1.0791666666666666
1,role_evidence,0.19600694444444444,0.19809751157407407,1.010665780927074
1,role_answer_near,0.014670138888888889,0.019133391203703703,1.304240631163708
1,role_title_special,0.03567708333333333,0.06351273148148148,1.780210867802109
1,role_irrelevant,0.7362847222222222,0.7005208333333334,0.9514265503419006
1,selfmass_base_high,0.5,0.7625144675925926,1.5250289351851851
1,entropy_base_high,0.5,0.42769820601851855,0.8553964120370371
1,prefix_mass_base_high,0.5,0.14966724537037038,0.29933449074074076
1,far_mass_base_high,0.5,0.29832175925925924,0.5966435185185185
1,topk_mass_base_high,0.49999819155092595,0.5520471643518519,1.1040983221148803
1,base_logit_margin_high,0.5,0.8922164351851852,1.7844328703703705
1,WavMass_high,0.5,0.018229166666666668,0.036458333333333336
1,router_out_entropy_high,0.5,0.017903645833333332,0.035807291666666664
1,top_scale_margin_high,0.5,0.35868778935185186,0.7173755787037037
1,router_in_norm_high,0.5,0.009548611111111112,0.019097222222222224
