component,dominant_scale,fine_mass,mid_mass,coarse_mass,entropy,v_s1,v_s2,v_s3,v_s4,v_s5,v_s6,v_s7,v_s8
0,5,0.12868859372976588,0.09074656144417938,0.7805648448260024,1.3304773875027744,0.2613398225601303,2.1965562989165477,1.6775961547835392,0.05562366638700424,10.588675251605844,1.1149639969153158,0.0,3.2048095040361004
1,8,0.003524555504633902,0.023397802940172924,0.973077641555115,0.7708112287487106,0.0,0.04504491456230337,0.0,0.29903119216026497,0.0,0.0,4.49176707634775,7.944467554858804
2,3,0.010804404199491678,0.9315528205004894,0.05764277529994442,0.5803935782409988,0.0,0.1450681925467441,11.4973361065202,1.0104043886183929,0.3371886318958871,0.0,0.4367673467720028,0.0
3,2,0.9770189063546464,0.022981093645276868,0.0,0.4072743504260782,1.1599454107445164,11.586078811966516,0.0,0.2998074800415007,0.0,0.0,0.0,0.0
4,4,0.07944172876443958,0.7182220411666732,0.202336230068817,0.8524078166093899,1.1335895240192049,0.0,0.0,10.24863122252038,0.0,2.4146001143892866,0.0,0.47262596065833445
5,6,0.0,0.0,0.99999999999994,0.9318525297623876,0.0,0.0,0.0,0.0,2.068172643402188,9.725903290685636,4.820692016813863,0.0
6,1,0.7493258031390942,0.006137328202654289,0.2445368686581857,0.7613287444747214,11.402398843171532,0.0,0.0,0.09339097052970313,1.8143035387977833,0.0,1.9067839996535034,0.0
