component,attribute,P_attr,P_attr_given_comp,ER
0,layer_low,0.3333333333333333,0.5159143518518519,1.5477430555555556
0,layer_mid,0.3333333333333333,0.14478443287037038,0.43435329861111116
0,layer_high,0.3333333333333333,0.3393012152777778,1.0179036458333335
0,pos_0-512,0.13773871527777778,0.12369791666666667,0.8980620765716086
0,pos_512-1024,0.12747395833333333,0.13577835648148148,1.0651458404267393
0,pos_1024-2048,0.23448350694444445,0.24537037037037038,1.0464291223199136
0,pos_2048-4096,0.5003038194444445,0.49515335648148145,0.9897053295162083
0,role_question,0.017361111111111112,0.01099537037037037,0.6333333333333333
0,role_evidence,0.19600694444444444,0.2021484375,1.0313330380868024
0,role_answer_near,0.014670138888888889,0.0185546875,1.264792899408284
0,role_title_special,0.03567708333333333,0.04097945601851852,1.1486212489862124
0,role_irrelevant,0.7362847222222222,0.7273220486111112,0.9878271634048574
0,selfmass_base_high,0.5,0.4122178819444444,0.8244357638888888
0,entropy_base_high,0.5,0.5104166666666666,1.0208333333333333
0,prefix_mass_base_high,0.5,0.5580150462962963,1.1160300925925926
0,far_mass_base_high,0.5,0.5707103587962963,1.1414207175925926
0,topk_mass_base_high,0.49999819155092595,0.4913194444444444,0.9826424430065211
0,base_logit_margin_high,0.5,0.4515335648148148,0.9030671296296297
0,WavMass_high,0.5,0.3238932291666667,0.6477864583333334
0,router_out_entropy_high,0.5,0.32056568287037035,0.6411313657407407
0,top_scale_margin_high,0.5,0.9236834490740741,1.8473668981481481
0,router_in_norm_high,0.5,0.3899739583333333,0.7799479166666666
1,layer_low,0.3333333333333333,0.9854962384259259,2.956488715277778
1,layer_mid,0.3333333333333333,0.004521122685185185,0.013563368055555556
1,layer_high,0.3333333333333333,0.009982638888888888,0.029947916666666664
1,pos_0-512,0.13773871527777778,0.13346354166666666,0.9689617141956829
1,pos_512-1024,0.12747395833333333,0.1175853587962963,0.9224265123141527
1,pos_1024-2048,0.23448350694444445,0.2251519097222222,0.960203609440074
1,pos_2048-4096,0.5003038194444445,0.5237991898148148,1.0469622046788698
1,role_question,0.017361111111111112,0.01468460648148148,0.8458333333333332
1,role_evidence,0.19600694444444444,0.2058376736111111,1.050155004428698
1,role_answer_near,0.014670138888888889,0.016456886574074073,1.1217948717948718
1,role_title_special,0.03567708333333333,0.039966724537037035,1.120235198702352
1,role_irrelevant,0.7362847222222222,0.7230541087962963,0.9820305745500275
1,selfmass_base_high,0.5,0.5529875578703703,1.1059751157407407
1,entropy_base_high,0.5,0.4058521412037037,0.8117042824074074
1,prefix_mass_base_high,0.5,0.1261574074074074,0.2523148148148148
1,far_mass_base_high,0.5,0.23249421296296297,0.46498842592592593
1,topk_mass_base_high,0.49999819155092595,0.6191044560185185,1.2382133905287562
1,base_logit_margin_high,0.5,0.8872612847222222,1.7745225694444444
1,WavMass_high,0.5,0.009295428240740741,0.018590856481481483
1,router_out_entropy_high,0.5,0.009440104166666666,0.018880208333333332
1,top_scale_margin_high,0.5,0.4449508101851852,0.8899016203703703
1,router_in_norm_high,0.5,0.015082465277777778,0.030164930555555556
2,layer_low,0.3333333333333333,0.002495659722222222,0.007486979166666666
2,layer_mid,0.3333333333333333,0.5032552083333334,1.5097656250000002
2,layer_high,0.3333333333333333,0.4942491319444444,1.4827473958333333
2,pos_0-512,0.13773871527777778,0.16323061342592593,1.18507431332388
2,pos_512-1024,0.12747395833333333,0.12905092592592593,1.0123709000113494
2,pos_1024-2048,0.23448350694444445,0.2300347222222222,0.981027302174919
2,pos_2048-4096,0.5003038194444445,0.47768373842592593,0.9547873109511003
2,role_question,0.017361111111111112,0.028682002314814815,1.6520833333333333
2,role_evidence,0.19600694444444444,0.19270833333333334,0.9831709477413642
2,role_answer_near,0.014670138888888889,0.013274016203703705,0.9048323471400395
2,role_title_special,0.03567708333333333,0.02325665509259259,0.6518653690186537
2,role_irrelevant,0.7362847222222222,0.7420789930555556,1.007869606224947
2,selfmass_base_high,0.5,0.5316116898148148,1.0632233796296295
2,entropy_base_high,0.5,0.5207609953703703,1.0415219907407407
2,prefix_mass_base_high,0.5,0.6739366319444444,1.3478732638888888
2,far_mass_base_high,0.5,0.5687210648148148,1.1374421296296295
2,topk_mass_base_high,0.49999819155092595,0.4561631944444444,0.9123296886924503
2,base_logit_margin_high,0.5,0.3809678819444444,0.7619357638888888
2,WavMass_high,0.5,0.7912326388888888,1.5824652777777777
2,router_out_entropy_high,0.5,0.7876519097222222,1.5753038194444444
2,top_scale_margin_high,0.5,0.9669415509259259,1.9338831018518519
2,router_in_norm_high,0.5,0.8802445023148148,1.7604890046296295
3,layer_low,0.3333333333333333,0.10091145833333333,0.302734375
3,layer_mid,0.3333333333333333,0.8072916666666666,2.421875
3,layer_high,0.3333333333333333,0.091796875,0.275390625
3,pos_0-512,0.13773871527777778,0.1314019097222222,0.9539940129194894
3,pos_512-1024,0.12747395833333333,0.12109375,0.9499489274770174
3,pos_1024-2048,0.23448350694444445,0.23097511574074073,0.9850377911460743
3,pos_2048-4096,0.5003038194444445,0.5165292245370371,1.0324311037853158
3,role_question,0.017361111111111112,0.015986689814814815,0.9208333333333333
3,role_evidence,0.19600694444444444,0.19419126157407407,0.9907366400944789
3,role_answer_near,0.014670138888888889,0.013816550925925927,0.9418145956607495
3,role_title_special,0.03567708333333333,0.027669270833333332,0.7755474452554745
3,role_irrelevant,0.7362847222222222,0.7483362268518519,1.01636799496974
3,selfmass_base_high,0.5,0.3987630208333333,0.7975260416666666
3,entropy_base_high,0.5,0.5367476851851852,1.0734953703703705
3,prefix_mass_base_high,0.5,0.4008246527777778,0.8016493055555556
3,far_mass_base_high,0.5,0.4113498263888889,0.8226996527777778
3,topk_mass_base_high,0.49999819155092595,0.5101634837962963,1.02033065802466
3,base_logit_margin_high,0.5,0.3991970486111111,0.7983940972222222
3,WavMass_high,0.5,0.5989221643518519,1.1978443287037037
3,router_out_entropy_high,0.5,0.5931351273148148,1.1862702546296295
3,top_scale_margin_high,0.5,0.6820023148148148,1.3640046296296295
3,router_in_norm_high,0.5,0.37666377314814814,0.7533275462962963
4,layer_low,0.3333333333333333,0.05172164351851852,0.15516493055555555
4,layer_mid,0.3333333333333333,0.47630931712962965,1.428927951388889
4,layer_high,0.3333333333333333,0.47196903935185186,1.4159071180555556
