R,train_rel_recon_err,heldout_rel_recon_err,stability_mean_cosine,stability_frac_ge_0.85
2,0.301219434758677,0.30118834707470005,0.9999999999998266,1.0
3,0.2597396331832954,0.2596417998016469,0.9999999998966564,1.0
4,0.2208060234123601,0.220730505755679,0.9999999997045104,1.0
5,0.18315874226717427,0.18297370082759587,0.9999999997383217,1.0
6,0.14263100311835225,0.14254331976112303,0.9999999999347096,1.0
7,0.09878905283393793,0.09909703606160805,0.9999999999401593,1.0
8,0.0014148438601900857,0.0013928961977488917,0.9999999996282691,1.0
