task,layer,small_count,baseline_count,prefix_delta_small,diag_delta_small,far_delta_small,prefix_delta_baseline_non_small,diag_delta_baseline_non_small,far_delta_baseline_non_small,flip_rate_small,flip_rate_baseline_non_small,prefix_delta_small_minus_baseline,diag_delta_small_minus_baseline,far_delta_small_minus_baseline
hotpotqa,10,2906,5092,0.00031967442322396866,-0.007807051826880667,-0.01012808520831714,-2.6746062882312067e-05,-0.011184605383305311,-0.011841460426427195,0.9607708189951824,0.9605263157894737,0.0003464204861062807,0.0033775535564246444,0.0017133752181100557
hotpotqa,11,3016,5004,-0.0015004277257665685,0.051324292821053594,-0.049083437773792524,-0.0007501658498477454,0.045347496616456894,-0.048151237450461105,0.9532493368700266,0.9410471622701838,-0.0007502618759188232,0.0059767962045967,-0.0009322003233314183
xsum,10,1735,4438,0.022361290143548315,-0.013414695475791646,0.0011474963540633386,0.020432272890518924,-0.006498125992916459,-0.00020585414611879127,0.9769452449567724,0.980396575033799,0.0019290172530293907,-0.006916569482875188,0.0013533505001821298
xsum,11,2731,4096,0.012008868015268974,0.01638433116813064,-0.05021858850633775,0.010153782520808051,0.013600455411273315,-0.04170109647436081,0.9600878798974735,0.966064453125,0.001855085494460923,0.002783875756857325,-0.008517492031976943
all,10,4641,9530,0.008559752698329062,-0.00990342367149617,-0.0059128010000150215,0.009500759300726783,-0.009002171434244899,-0.006422906316038035,0.9668174962292609,0.9697796432318992,-0.0009410066023977214,-0.0009012522372512707,0.0005101053160230136
all,11,5747,9100,0.004919249787504368,0.03472066740359534,-0.04962286645842467,0.004157809153032051,0.031057839388277563,-0.0452479652045153,0.9564990429789455,0.9523076923076923,0.0007614406344723171,0.003662828015317778,-0.004374901253909366
