task,layer,state,count,flip_rate,js_mean,diag_base,diag_wave,diag_delta,sink_base,sink_wave,sink_delta,prefix_base,prefix_wave,prefix_delta,far_base,far_wave,far_delta,entropy_base,entropy_wave,entropy_delta
hotpotqa,10,UNIFORM,24516,0.02418828520150106,0.0003700900860857468,0.2718238644752323,0.2675432683417652,-0.004280596133467152,0.006572617423164924,0.007628833141680641,0.0010562157185157166,0.05604290559886364,0.06321002212623224,0.007167116527368594,0.2988141592448588,0.30441859819130873,0.005604438946449908,3.3705662036793815,3.3783836946832166,0.007817491003835109
hotpotqa,10,SMALL,34872,0.04126519844000918,0.0011679073888968888,0.27577414492987523,0.2734143143131944,-0.0023598306166808247,0.004980646935339665,0.006587148834613273,0.0016065018992736076,0.048074849860660226,0.060404504181968854,0.012329654321308628,0.31042473808704213,0.31139584675778353,0.0009711086707414052,3.318400635132345,3.330871805683294,0.01247117055094904
hotpotqa,10,LARGE,36972,0.02693930542031808,0.00029537081363216656,0.21363694230395294,0.20937269021719557,-0.004264252086757375,0.009679752988860316,0.01008582162001615,0.0004060686311558332,0.061608519414153094,0.06464716450017845,0.003038645086025353,0.4023210774164467,0.4139224419170325,0.011601364500585798,3.311977002656684,3.317788693133522,0.0058116904768379385
hotpotqa,10,OTHER,99864,0.028048145477849874,0.0004713182377086449,0.2539851970419167,0.25004121100443677,-0.0039439860374799185,0.005402983430102593,0.006232932693728588,0.0008299492636259943,0.05207281689283033,0.05852886601584682,0.006456049123016491,0.3632632852728048,0.37046608500158773,0.007202799728782905,3.282905549802938,3.2917167078712115,0.008811158068273706
hotpotqa,11,UNIFORM,48300,0.020476190476190478,0.00029223796280320233,0.3694262372465975,0.36568068131315795,-0.0037455559334395594,0.008623812762849063,0.009071096018784273,0.00044728325593521023,0.06314693153995862,0.06778371468403786,0.00463678314407924,0.2629489860454699,0.26769767781901943,0.004748691773549529,2.994660492763125,3.0004136203488585,0.005753127585733431
hotpotqa,11,SMALL,36192,0.03406830238726791,0.0008936677089023113,0.33401381238497396,0.3310649471924394,-0.0029488651925345666,0.003272027870580381,0.004206353767288737,0.0009343258967083562,0.041694792503759,0.050513109531786636,0.008818317028027635,0.273910622298997,0.27612452377264024,0.002213901473643254,3.161707346932936,3.171212254782263,0.009504907849327004
hotpotqa,11,LARGE,12132,0.018298714144411473,0.00022460238064467994,0.3462191725708991,0.3429717204300667,-0.003247452140832441,0.005338975664175327,0.0056419410877125405,0.00030296542353721364,0.0531315169629685,0.05626408572505784,0.0031325687620893383,0.28176509534707145,0.2869003076750678,0.005135212327996352,3.0788123884400482,3.0835121966605965,0.004699808220548274
hotpotqa,11,OTHER,99600,0.02684738955823293,0.0005006363370657766,0.3431328827400981,0.3398532745679108,-0.0032796081721873094,0.003078061734861056,0.0035532948147438885,0.00047523307988283237,0.039607682044753394,0.04513847971527514,0.005530797670521746,0.30011909689736893,0.30471943779746424,0.004600340900095312,3.1220137433416455,3.1276389237508577,0.005625180409212227
xsum,10,UNIFORM,17712,0.03398825654923216,0.0005345286783977588,0.27819410189579097,0.27231934055533835,-0.005874761340452617,0.015518995503648863,0.017486277339280685,0.001967281835631822,0.11397380503316873,0.12613714866582007,0.012163343632651341,0.2971123347789022,0.3052011585877937,0.008088823808891477,3.197603375131898,3.2028316976791658,0.005228322547267794
xsum,10,SMALL,20892,0.06236837066819835,0.0019030850703104227,0.3222768951268365,0.31454569080841954,-0.007731204318416951,0.014580567425747053,0.01817098454705512,0.003590417121308068,0.11631506831274137,0.14031931823438099,0.024004249921639617,0.2834387663169406,0.2892268929063587,0.00578812658941813,3.1136089508774885,3.1116722050357875,-0.0019367458417010042
