model_tag,seed,seq_len,layer,n_layers,K,qbin,qbin_lo,qbin_hi,null_usage,scale0_usage,scale1_usage,scale2_usage
medium,44,512,0,24,3,0,0,512,0.2154768854379654,0.48003697395324707,0.39162370562553406,0.3162539601325989
medium,44,512,1,24,3,0,0,512,0.8179212212562561,0.06500905007123947,0.09251396358013153,0.09114450216293335
medium,44,512,2,24,3,0,0,512,0.28831571340560913,0.50849848985672,0.21167193353176117,0.2558608055114746
medium,44,512,3,24,3,0,0,512,0.2770193815231323,0.474073201417923,0.27001523971557617,0.29329365491867065
medium,44,512,4,24,3,0,0,512,0.18769653141498566,0.40438300371170044,0.3572806715965271,0.4105144143104553
medium,44,512,5,24,3,0,0,512,0.2559196352958679,0.3520074784755707,0.2769105136394501,0.24011611938476562
medium,44,512,6,24,3,0,0,512,0.40107062458992004,0.42925140261650085,0.17663072049617767,0.16750046610832214
medium,44,512,7,24,3,0,0,512,0.5076627731323242,0.3275333046913147,0.228633314371109,0.08002808690071106
medium,44,512,8,24,3,0,0,512,0.535358190536499,0.30867496132850647,0.18478389084339142,0.2579421401023865
medium,44,512,9,24,3,0,0,512,0.3921710252761841,0.2727827727794647,0.4963120222091675,0.24596722424030304
medium,44,512,10,24,3,0,0,512,0.3118434548377991,0.4154789447784424,0.5040931105613708,0.39227601885795593
medium,44,512,11,24,3,0,0,512,0.20303554832935333,0.5076103806495667,0.27819928526878357,0.2875189185142517
medium,44,512,12,24,3,0,0,512,0.16182929277420044,0.49039727449417114,0.44083884358406067,0.42053982615470886
medium,44,512,13,24,3,0,0,512,0.2563454806804657,0.42287543416023254,0.2800150513648987,0.26736482977867126
medium,44,512,14,24,3,0,0,512,0.259038507938385,0.38182660937309265,0.25647443532943726,0.36846840381622314
medium,44,512,15,24,3,0,0,512,0.15521499514579773,0.47316399216651917,0.36456185579299927,0.3386487066745758
medium,44,512,16,24,3,0,0,512,0.19886580109596252,0.4095386862754822,0.3217617869377136,0.30559635162353516
medium,44,512,17,24,3,0,0,512,0.18885160982608795,0.436861515045166,0.3841409981250763,0.46092817187309265
medium,44,512,18,24,3,0,0,512,0.36533963680267334,0.38010743260383606,0.3877369165420532,0.16922606527805328
medium,44,512,19,24,3,0,0,512,0.2453359067440033,0.4362910985946655,0.35654759407043457,0.22134153544902802
medium,44,512,20,24,3,0,0,512,0.22931215167045593,0.5017721056938171,0.2496824413537979,0.32384130358695984
medium,44,512,21,24,3,0,0,512,0.19044595956802368,0.5430117845535278,0.3106209337711334,0.2706064283847809
medium,44,512,22,24,3,0,0,512,0.1809307038784027,0.5648040175437927,0.2937818169593811,0.40026983618736267
medium,44,512,23,24,3,0,0,512,0.35277459025382996,0.3849252164363861,0.19180814921855927,0.17513561248779297
medium,44,2048,0,24,3,0,0,512,0.21679462492465973,0.47936469316482544,0.390028178691864,0.3130754232406616
medium,44,2048,0,24,3,1,512,1024,0.20807068049907684,0.47802600264549255,0.3952784240245819,0.30821433663368225
medium,44,2048,0,24,3,2,1024,1536,0.2091456949710846,0.4741033613681793,0.3978768587112427,0.3092529773712158
medium,44,2048,0,24,3,3,1536,2048,0.2090149074792862,0.4751441180706024,0.3943023681640625,0.3055260479450226
medium,44,2048,1,24,3,0,0,512,0.8192258477210999,0.06513165682554245,0.09199218451976776,0.08969857543706894
medium,44,2048,1,24,3,1,512,1024,0.8266996741294861,0.05837137997150421,0.08844991028308868,0.09034307301044464
medium,44,2048,1,24,3,2,1024,1536,0.8239351511001587,0.05829573795199394,0.08994634449481964,0.09325824677944183
medium,44,2048,1,24,3,3,1536,2048,0.8230713605880737,0.05833602324128151,0.09090571105480194,0.09473097324371338
medium,44,2048,2,24,3,0,0,512,0.285893052816391,0.5104827880859375,0.21290279924869537,0.26257985830307007
medium,44,2048,2,24,3,1,512,1024,0.2790108323097229,0.5129249095916748,0.20835334062576294,0.25785866379737854
medium,44,2048,2,24,3,2,1024,1536,0.2855921685695648,0.509560227394104,0.20503273606300354,0.24844326078891754
medium,44,2048,2,24,3,3,1536,2048,0.2864665985107422,0.5106863379478455,0.20333364605903625,0.24771879613399506
medium,44,2048,3,24,3,0,0,512,0.2796076834201813,0.47107258439064026,0.2630681097507477,0.295404314994812
medium,44,2048,3,24,3,1,512,1024,0.2701699733734131,0.4637214243412018,0.25719693303108215,0.3336542248725891
medium,44,2048,3,24,3,2,1024,1536,0.2682066559791565,0.4519897699356079,0.2639634609222412,0.3484143912792206
medium,44,2048,3,24,3,3,1536,2048,0.26868146657943726,0.4412152171134949,0.26874402165412903,0.3511441648006439
