model_tag,seed,seq_len,layer,n_layers,K,qbin,qbin_lo,qbin_hi,null_usage,scale0_usage,scale1_usage,scale2_usage
medium,44,4096,0,24,3,0,0,512,0.26480233669281006,0.4457971453666687,0.3593011498451233,0.31477347016334534
medium,44,4096,0,24,3,1,512,1024,0.2600717842578888,0.4442480206489563,0.3687324821949005,0.3051692247390747
medium,44,4096,0,24,3,2,1024,1536,0.26436397433280945,0.4445144534111023,0.36337193846702576,0.3017582893371582
medium,44,4096,0,24,3,3,1536,2048,0.2641986608505249,0.4480268061161041,0.3626449704170227,0.29618483781814575
medium,44,4096,0,24,3,4,2048,2560,0.2635333240032196,0.45002281665802,0.3632722496986389,0.29431965947151184
medium,44,4096,0,24,3,5,2560,3072,0.2644573748111725,0.4486595392227173,0.3610549569129944,0.29451784491539
medium,44,4096,0,24,3,6,3072,3584,0.26837605237960815,0.44582757353782654,0.359258770942688,0.29223373532295227
medium,44,4096,0,24,3,7,3584,4096,0.2665138244628906,0.4459902048110962,0.3579168915748596,0.2915528118610382
medium,44,4096,1,24,3,0,0,512,0.8300071954727173,0.057032059878110886,0.08183076232671738,0.07893503457307816
medium,44,4096,1,24,3,1,512,1024,0.8302611708641052,0.05360463261604309,0.08070452511310577,0.08361411839723587
medium,44,4096,1,24,3,2,1024,1536,0.8288784623146057,0.05261523276567459,0.08190618455410004,0.08399789035320282
medium,44,4096,1,24,3,3,1536,2048,0.8255634307861328,0.05227499082684517,0.08417559415102005,0.08723190426826477
medium,44,4096,1,24,3,4,2048,2560,0.8249732851982117,0.05204463377594948,0.08460750430822372,0.08774738013744354
medium,44,4096,1,24,3,5,2560,3072,0.8242930769920349,0.0519203282892704,0.08559364080429077,0.0884515792131424
medium,44,4096,1,24,3,6,3072,3584,0.8224473595619202,0.05196768790483475,0.08596429973840714,0.09015154838562012
medium,44,4096,1,24,3,7,3584,4096,0.8216912150382996,0.0517386756837368,0.08668026328086853,0.09082960337400436
medium,44,4096,2,24,3,0,0,512,0.40712296962738037,0.4051894247531891,0.1535501927137375,0.2317478507757187
medium,44,4096,2,24,3,1,512,1024,0.3938519358634949,0.4131318926811218,0.15056145191192627,0.23526553809642792
medium,44,4096,2,24,3,2,1024,1536,0.3986290693283081,0.40798255801200867,0.1484690010547638,0.22838254272937775
medium,44,4096,2,24,3,3,1536,2048,0.39750564098358154,0.4116310775279999,0.1487000435590744,0.2269119769334793
medium,44,4096,2,24,3,4,2048,2560,0.3974606394767761,0.4104340374469757,0.14900602400302887,0.22806686162948608
medium,44,4096,2,24,3,5,2560,3072,0.4054517447948456,0.4053080081939697,0.14784389734268188,0.22323833405971527
medium,44,4096,2,24,3,6,3072,3584,0.4099210500717163,0.4010673463344574,0.14654161036014557,0.22389747202396393
medium,44,4096,2,24,3,7,3584,4096,0.40124696493148804,0.4106016755104065,0.1490541696548462,0.22783170640468597
medium,44,4096,3,24,3,0,0,512,0.3260587751865387,0.4221493899822235,0.37641921639442444,0.21932227909564972
medium,44,4096,3,24,3,1,512,1024,0.3213099241256714,0.4243974983692169,0.38052845001220703,0.24482190608978271
medium,44,4096,3,24,3,2,1024,1536,0.31726622581481934,0.4179082214832306,0.38601094484329224,0.2623366415500641
medium,44,4096,3,24,3,3,1536,2048,0.31566321849823,0.414897620677948,0.3905958831310272,0.2727285325527191
medium,44,4096,3,24,3,4,2048,2560,0.3207235336303711,0.40496405959129333,0.39029356837272644,0.27454912662506104
medium,44,4096,3,24,3,5,2560,3072,0.3213055431842804,0.4018312692642212,0.3879173994064331,0.2783859074115753
medium,44,4096,3,24,3,6,3072,3584,0.31897076964378357,0.4010453522205353,0.39521923661231995,0.2799835205078125
medium,44,4096,3,24,3,7,3584,4096,0.31920650601387024,0.3979070782661438,0.397667795419693,0.2831467092037201
medium,44,4096,4,24,3,0,0,512,0.22503021359443665,0.3638342320919037,0.35707926750183105,0.3951128423213959
medium,44,4096,4,24,3,1,512,1024,0.22214782238006592,0.358993262052536,0.33324509859085083,0.4031962454319
medium,44,4096,4,24,3,2,1024,1536,0.22653384506702423,0.35817599296569824,0.3145873546600342,0.3990747034549713
medium,44,4096,4,24,3,3,1536,2048,0.2267678678035736,0.36040669679641724,0.3110530972480774,0.39184463024139404
medium,44,4096,4,24,3,4,2048,2560,0.227462500333786,0.3626590967178345,0.30379369854927063,0.39578378200531006
medium,44,4096,4,24,3,5,2560,3072,0.231020987033844,0.3608117699623108,0.29672279953956604,0.39336371421813965
medium,44,4096,4,24,3,6,3072,3584,0.22959469258785248,0.3633975088596344,0.29549670219421387,0.38983792066574097
medium,44,4096,4,24,3,7,3584,4096,0.22891399264335632,0.3663209080696106,0.29157379269599915,0.39289161562919617
medium,44,4096,5,24,3,0,0,512,0.2795027792453766,0.30671361088752747,0.30380985140800476,0.23827117681503296
medium,44,4096,5,24,3,1,512,1024,0.28618812561035156,0.29753947257995605,0.30351728200912476,0.22517278790473938
medium,44,4096,5,24,3,2,1024,1536,0.28051790595054626,0.30267488956451416,0.30754172801971436,0.22728654742240906
medium,44,4096,5,24,3,3,1536,2048,0.2819553017616272,0.3043830096721649,0.3051063120365143,0.22090695798397064
medium,44,4096,5,24,3,4,2048,2560,0.2785446345806122,0.30783095955848694,0.3087368607521057,0.22485564649105072
medium,44,4096,5,24,3,5,2560,3072,0.27636924386024475,0.31217172741889954,0.30840346217155457,0.2229819893836975
medium,44,4096,5,24,3,6,3072,3584,0.27974459528923035,0.310896098613739,0.3002241551876068,0.22239559888839722
medium,44,4096,5,24,3,7,3584,4096,0.2809908390045166,0.30746808648109436,0.3002123236656189,0.22380325198173523
medium,44,4096,6,24,3,0,0,512,0.39902374148368835,0.4199582636356354,0.19779200851917267,0.23099973797798157
medium,44,4096,6,24,3,1,512,1024,0.388561487197876,0.42592376470565796,0.1941203474998474,0.235369011759758
medium,44,4096,6,24,3,2,1024,1536,0.3796106278896332,0.43374085426330566,0.20494967699050903,0.23377563059329987
medium,44,4096,6,24,3,3,1536,2048,0.3746599853038788,0.4371527433395386,0.2006220668554306,0.23581437766551971
medium,44,4096,6,24,3,4,2048,2560,0.38067489862442017,0.43191882967948914,0.19856078922748566,0.23046262562274933
medium,44,4096,6,24,3,5,2560,3072,0.3806021511554718,0.4308043420314789,0.19754180312156677,0.22817735373973846
medium,44,4096,6,24,3,6,3072,3584,0.37572774291038513,0.4331556260585785,0.20266050100326538,0.22951096296310425
medium,44,4096,6,24,3,7,3584,4096,0.3747531771659851,0.4356183111667633,0.2054082602262497,0.22910527884960175
medium,44,4096,7,24,3,0,0,512,0.5344083905220032,0.27119553089141846,0.25359973311424255,0.08516871184110641
medium,44,4096,7,24,3,1,512,1024,0.5444976091384888,0.28876981139183044,0.2515746057033539,0.08623215556144714
