model_tag,seed,seq_len,layer,n_layers,K,qbin,qbin_lo,qbin_hi,null_usage,scale0_usage,scale1_usage,scale2_usage
medium,43,512,0,24,3,0,0,512,0.3459641933441162,0.3847234547138214,0.2983507812023163,0.2581464946269989
medium,43,512,1,24,3,0,0,512,0.7480923533439636,0.11448691785335541,0.09420546144247055,0.16977031528949738
medium,43,512,2,24,3,0,0,512,0.39521098136901855,0.3912762999534607,0.1465516984462738,0.3201521039009094
medium,43,512,3,24,3,0,0,512,0.29952213168144226,0.38416728377342224,0.1772603988647461,0.30909860134124756
medium,43,512,4,24,3,0,0,512,0.21167007088661194,0.3966965675354004,0.3102811872959137,0.2905423045158386
medium,43,512,5,24,3,0,0,512,0.31271806359291077,0.37639570236206055,0.5350455045700073,0.2536410391330719
medium,43,512,6,24,3,0,0,512,0.37471574544906616,0.3385356664657593,0.1850113421678543,0.1850210279226303
medium,43,512,7,24,3,0,0,512,0.42384129762649536,0.34718117117881775,0.14684505760669708,0.30722030997276306
medium,43,512,8,24,3,0,0,512,0.571506679058075,0.13600045442581177,0.11123218387365341,0.23398269712924957
medium,43,512,9,24,3,0,0,512,0.5410818457603455,0.26793521642684937,0.2527918815612793,0.07661384344100952
medium,43,512,10,24,3,0,0,512,0.2863136827945709,0.5276901125907898,0.283504843711853,0.19358830153942108
medium,43,512,11,24,3,0,0,512,0.2568610608577728,0.5299149751663208,0.2465333789587021,0.3002663552761078
medium,43,512,12,24,3,0,0,512,0.20677997171878815,0.47778087854385376,0.44751232862472534,0.40868452191352844
medium,43,512,13,24,3,0,0,512,0.16944526135921478,0.455254465341568,0.38231587409973145,0.46992021799087524
medium,43,512,14,24,3,0,0,512,0.1765657663345337,0.5322431325912476,0.365670770406723,0.299574077129364
medium,43,512,15,24,3,0,0,512,0.15521706640720367,0.517221212387085,0.40102195739746094,0.3474993407726288
medium,43,512,16,24,3,0,0,512,0.2123902440071106,0.5471524596214294,0.4317937195301056,0.26772361993789673
medium,43,512,17,24,3,0,0,512,0.16315045952796936,0.43872562050819397,0.4491582214832306,0.43087151646614075
medium,43,512,18,24,3,0,0,512,0.21124950051307678,0.4307369589805603,0.38733863830566406,0.41600751876831055
medium,43,512,19,24,3,0,0,512,0.23818622529506683,0.5295490026473999,0.2442079782485962,0.3269939124584198
