scope,rho_scale,rho_over_Ltrain,layer,query,g0,pa_rms,training_imprint_rms,wavelet_bias_rms,row_centered_wavelet_bias_rms,centered_over_raw_bias_rms,wavelet_over_pa_rms,wavelet_over_training_imprint_rms,corr_wavelet_pa,corr_g0_full_context_bias_rms,mean_abs_full_context_bias_rms_minus_g0
layer_causal_all,128.0,0.25,0,all,0.5383412837982178,4.464482846833207,1.3807133635599091,0.7948478218080495,0.7514503464548469,0.9454015294971988,0.1780380503358545,0.5756790966074843,-0.010569278775759828,0.9999999094899316,8.966002496890724e-06
query_row_causal,128.0,0.25,0,255,0.4157947301864624,4.004311409370313,1.5616088584314918,1.0771109768097809,0.6962112489763292,0.6463690965608654,0.2689878150558622,0.6897444075026896,-0.3349740693162082,,
query_row_causal,128.0,0.25,0,511,0.24387001991271973,4.716774079002934,1.362238349293803,0.48772919543249715,0.4826034729761609,0.9894906384437557,0.10340312833800107,0.3580351380397861,-0.05510423811493213,,
query_row_causal,128.0,0.25,0,1023,0.7485794425010681,3.2130744255028745,1.4378223683175588,1.058643653206457,1.0424247100224358,0.9846795065224293,0.32947996622915754,0.736282642789324,-0.011229932185252724,,
query_row_causal,128.0,0.25,0,2047,0.6321879625320435,5.818800390247689,1.331245103021267,0.6321831136721823,0.6288626098667459,0.9947475601077852,0.10864492185222943,0.4748810810552014,-0.010037334598657535,,
layer_causal_all,128.0,0.25,2,all,0.7622796297073364,29.70069780755829,4.345836914835853,1.0509538808797358,0.9899809060432418,0.9419832059752664,0.035384821181281716,0.24183003216065957,0.012269359481577221,0.9999999999968529,5.430374585557729e-06
query_row_causal,128.0,0.25,2,255,0.7996947765350342,24.33527171832703,3.0804109196456424,2.0722422999208123,1.3493274335207992,0.6511436590076178,0.08515385913526477,0.6727161907863884,-0.7134160523257302,,
query_row_causal,128.0,0.25,2,511,0.8022953867912292,29.114537337914705,3.5991470719226406,1.604161436417793,1.5382330206688621,0.9589016328081332,0.055098297383168696,0.44570599766040137,-0.1709783610666135,,
query_row_causal,128.0,0.25,2,1023,0.7992894053459167,30.117203413781894,3.6487409097237835,1.1303581199735109,1.1081637569782852,0.9803651934700608,0.037531974813313815,0.30979402153798885,-0.014479986050269284,,
query_row_causal,128.0,0.25,2,2047,0.8038201928138733,33.32747832352907,3.9589779888071663,0.8038146761302403,0.7961263635524087,0.9904352174622577,0.02411867673656996,0.2030359043174242,0.005607904686139863,,
layer_causal_all,128.0,0.25,6,all,0.2964404225349426,24.56578524428476,4.880816899831246,0.44124063098497707,0.4269271401401812,0.9675608050581289,0.017961592784323143,0.09040302884548546,0.1966654708849558,0.9999983670684804,1.1264492059126496e-05
query_row_causal,128.0,0.25,6,255,0.2103545069694519,19.581812684804525,3.7612280259132884,0.5496056969990694,0.41587344199357246,0.7566760029313827,0.028067151179806914,0.14612400344050291,-0.46238781351348507,,
query_row_causal,128.0,0.25,6,511,0.19681230187416077,22.88976551967308,4.839279616914094,0.39361889280569606,0.39360910108846087,0.9999751238636809,0.0171962833113075,0.08133832387571323,0.33182530860111853,,
query_row_causal,128.0,0.25,6,1023,0.3147745132446289,27.814305804087255,6.442478691136223,0.4451549933967262,0.44066763319994734,0.9899195555180942,0.016004533657327936,0.06909685149741904,0.23889237162247762,,
query_row_causal,128.0,0.25,6,2047,0.28122931718826294,22.537581134006064,3.3951552319243796,0.28122707782557393,0.27999833600898505,0.9956307841119375,0.012478139342169313,0.08283187619264583,0.13592460410937832,,
