task,layer,cohort,count_head_rows,mass_base_generation,mass_wave_generation,mass_delta_generation,mass_base_lead,mass_wave_lead,mass_delta_lead,mass_base_mid,mass_wave_mid,mass_delta_mid,mass_base_tail,mass_wave_tail,mass_delta_tail
xsum,10,small_answer_queries,1287,0.21411847334585388,0.20689871887385328,-0.0072197544720006,0.2135414406644535,0.2272684536577695,0.013727012993315996,0.26278857742500555,0.2657906218627284,0.0030020444377228395,0.30955150856468755,0.30004220560564937,-0.00950930295903818
xsum,10,small_low_margin_flip_answer_queries,741,0.2061126377711591,0.19892834949242552,-0.007184288278733575,0.2170930219319805,0.2305814168511008,0.013488394919120322,0.2609317171771217,0.264443353315696,0.0035116361385743033,0.3158626231197376,0.30604688034077776,-0.009815742778959857
xsum,10,baseline_non_small_answer_queries,3393,0.20519197256811905,0.1984023039189373,-0.006789668649181763,0.20368931551296376,0.21694437321276813,0.013255057699804368,0.28479800529371574,0.2873254629050521,0.002527457611336381,0.30632070662520317,0.29732785996324124,-0.008992846661961929
xsum,11,small_answer_queries,2325,0.46230605597050123,0.457520000732983,-0.004786055237518239,0.07364961972056386,0.08399532720916209,0.010345707488598227,0.1366639725478125,0.1342696707167304,-0.0023943018310821074,0.32738035176112196,0.3242150013411238,-0.0031653504199981586
xsum,11,small_low_margin_flip_answer_queries,891,0.45429152715685744,0.44950048417234423,-0.004791042984513216,0.07542955227539241,0.08564442635682026,0.01021487408142785,0.1344249726938527,0.13198790329131638,-0.0024370694025363238,0.33585394787389766,0.332867186179519,-0.00298676169437867
xsum,11,baseline_non_small_answer_queries,2802,0.45738773168303964,0.45333969118318285,-0.004048040499856798,0.0717209305175989,0.08055567753467531,0.008834747017076414,0.138744469729094,0.13663609670076773,-0.0021083730283262547,0.3321468680702668,0.3294685345813732,-0.0026783334888935695
